was succesful, reward, actual steps, target steps, runs completed
0,-184,122,1024,1
0,-168,146,1024,2
0,-80,53,1024,3
1,1166,1025,1024,4
0,-192,117,1024,5
0,-208,91,1024,6
0,-224,75,1024,7
0,-80,52,1024,8
0,-224,79,1024,9
1,1166,1025,1024,10
0,64,189,1024,11
0,104,232,1024,12
0,-80,59,1024,13
0,200,358,1024,14
0,40,157,1024,15
1,1166,1025,1024,16
0,-192,119,1024,17
0,-208,93,1024,18
1,1166,1025,1024,19
0,-56,89,1024,20
0,-64,71,1024,21
1,1166,1025,1024,22
0,88,210,1024,23
1,1166,1025,1024,24
0,-216,88,1024,25
0,-200,104,1024,26
0,-72,62,1024,27
0,40,154,1024,28
0,184,338,1024,29
0,-216,84,1024,30
1,1166,1025,1024,31
0,-256,30,1024,32
0,-240,54,1024,33
0,-88,44,1024,34
0,-200,106,1024,35
0,-224,77,1024,36
0,-176,132,1024,37
0,-208,91,1024,38
1,1166,1025,1024,39
0,56,171,1024,40
0,120,257,1024,41
0,-248,46,1024,42
0,40,156,1024,43
0,-192,115,1024,44
0,56,173,1024,45
1,1166,1025,1024,46
0,-176,139,1024,47
1,1166,1025,1024,48
0,-208,99,1024,49
0,-216,87,1024,50
0,-96,35,1024,51
0,-240,52,1024,52
0,-208,92,1024,53
0,-168,140,1024,54
0,200,350,1024,55
0,-208,97,1024,56
0,-184,122,1024,57
0,192,347,1024,58
0,184,336,1024,59
0,-48,95,1024,60
1,1166,1025,1024,61
0,-96,32,1024,62
0,80,203,1024,63
1,1166,1025,1024,64
0,-208,98,1024,65
0,168,317,1024,66
0,40,153,1024,67
0,-200,104,1024,68
0,-240,59,1024,69
0,-40,106,1024,70
1,1166,1025,1024,71
0,-64,77,1024,72
0,-232,67,1024,73
0,-208,94,1024,74
1,1166,1025,1024,75
0,72,192,1024,76
0,184,336,1024,77
0,-176,130,1024,78
0,-112,19,1024,79
0,96,228,1024,80
0,-216,80,1024,81
0,-56,83,1024,82
0,-200,106,1024,83
0,-200,107,1024,84
0,-216,88,1024,85
1,1166,1025,1024,86
0,72,199,1024,87
1,1166,1025,1024,88
0,-184,122,1024,89
0,64,185,1024,90
0,-232,60,1024,91
0,-32,120,1024,92
1,1166,1025,1024,93
0,-80,58,1024,94
0,-48,96,1024,95
0,-8,141,1024,96
1,1166,1025,1024,97
0,-208,92,1024,98
1,1166,1025,1024,99
0,-240,56,1024,100
0,200,353,1024,101
0,40,154,1024,102
0,-216,87,1024,103
