star_1_x_pos,star_1_y_pos,star_1_m,planet_1_m,length,height
1004,699,135,10,2000,1142.857142857143
644,545,115,10,2000,1142.857142857143
1710,734,142,17,2000,1142.857142857143
1043,423,109,10,2000,1142.857142857143
555,669,102,9,2000,1142.857142857143
501,488,125,6,2000,1142.857142857143
467,577,121,5,2000,1142.857142857143
1408,403,124,18,2000,1142.857142857143
1408,699,114,7,2000,1142.857142857143
315,710,120,15,2000,1142.857142857143
504,352,143,14,2000,1142.857142857143
1450,395,108,9,2000,1142.857142857143
1690,651,112,19,2000,1142.857142857143
856,429,118,11,2000,1142.857142857143
904,436,146,9,2000,1142.857142857143
1139,557,116,11,2000,1142.857142857143
628,788,119,11,2000,1142.857142857143
398,445,113,6,2000,1142.857142857143
670,706,132,14,2000,1142.857142857143
1309,740,109,17,2000,1142.857142857143
1322,419,136,16,2000,1142.857142857143
1526,769,127,10,2000,1142.857142857143
319,366,145,11,2000,1142.857142857143
389,350,111,13,2000,1142.857142857143
753,719,140,7,2000,1142.857142857143
1589,493,100,8,2000,1142.857142857143
1445,770,121,18,2000,1142.857142857143
382,484,136,10,2000,1142.857142857143
683,412,108,15,2000,1142.857142857143
400,674,136,6,2000,1142.857142857143
403,617,140,15,2000,1142.857142857143
1610,611,130,6,2000,1142.857142857143
1197,444,100,9,2000,1142.857142857143
1728,544,110,18,2000,1142.857142857143
357,693,113,8,2000,1142.857142857143
588,487,137,5,2000,1142.857142857143
384,757,101,12,2000,1142.857142857143
1048,462,143,6,2000,1142.857142857143
508,606,100,18,2000,1142.857142857143
863,525,114,11,2000,1142.857142857143
1258,506,140,11,2000,1142.857142857143
1298,392,129,7,2000,1142.857142857143
1087,605,122,11,2000,1142.857142857143
1241,769,122,11,2000,1142.857142857143
1297,468,113,15,2000,1142.857142857143
762,502,140,10,2000,1142.857142857143
1101,777,131,13,2000,1142.857142857143
1157,492,120,12,2000,1142.857142857143
333,647,126,7,2000,1142.857142857143
1338,606,125,7,2000,1142.857142857143
1620,708,137,10,2000,1142.857142857143
1381,456,135,7,2000,1142.857142857143
616,696,113,7,2000,1142.857142857143
299,443,145,9,2000,1142.857142857143
999,636,104,14,2000,1142.857142857143
821,787,136,9,2000,1142.857142857143
1131,585,111,9,2000,1142.857142857143
814,544,115,13,2000,1142.857142857143
681,389,114,14,2000,1142.857142857143
1264,403,141,14,2000,1142.857142857143
1380,760,121,14,2000,1142.857142857143
1686,438,105,15,2000,1142.857142857143
1187,451,139,13,2000,1142.857142857143
335,598,127,16,2000,1142.857142857143
1005,743,136,9,2000,1142.857142857143
829,481,125,12,2000,1142.857142857143
458,540,116,19,2000,1142.857142857143
1016,626,116,7,2000,1142.857142857143
1418,706,102,6,2000,1142.857142857143
634,787,143,17,2000,1142.857142857143
1325,705,124,10,2000,1142.857142857143
860,655,147,13,2000,1142.857142857143
1060,656,101,8,2000,1142.857142857143
371,381,131,6,2000,1142.857142857143
314,696,137,14,2000,1142.857142857143
1621,488,106,10,2000,1142.857142857143
