was succesful, reward, actual steps, target steps, runs completed
1,1166,1025,1024,1
1,1166,1025,1024,2
1,1166,1025,1024,3
0,-56,87,1024,4
1,1166,1025,1024,5
0,-48,93,1024,6
0,40,152,1024,7
1,1166,1025,1024,8
0,-40,106,1024,9
0,-192,113,1024,10
0,-176,133,1024,11
1,1166,1025,1024,12
0,-208,94,1024,13
1,1166,1025,1024,14
1,1166,1025,1024,15
0,-168,143,1024,16
0,-184,128,1024,17
1,1166,1025,1024,18
0,-208,90,1024,19
0,-24,123,1024,20
1,1166,1025,1024,21
0,-232,60,1024,22
1,1166,1025,1024,23
0,-256,39,1024,24
0,-56,84,1024,25
0,-208,93,1024,26
0,-56,81,1024,27
1,1166,1025,1024,28
0,-240,50,1024,29
0,-184,122,1024,30
0,40,154,1024,31
1,1166,1025,1024,32
0,48,168,1024,33
1,1166,1025,1024,34
0,-176,138,1024,35
0,-176,132,1024,36
0,-208,92,1024,37
1,1166,1025,1024,38
0,-264,21,1024,39
0,-248,41,1024,40
1,1166,1025,1024,41
1,1166,1025,1024,42
0,40,150,1024,43
0,-168,144,1024,44
1,1166,1025,1024,45
0,-224,79,1024,46
0,64,187,1024,47
0,-232,67,1024,48
0,-16,138,1024,49
0,96,227,1024,50
1,1166,1025,1024,51
1,1166,1025,1024,52
1,1166,1025,1024,53
0,-168,144,1024,54
1,1166,1025,1024,55
1,1166,1025,1024,56
0,-24,128,1024,57
0,72,193,1024,58
0,-264,27,1024,59
0,-64,73,1024,60
0,-8,142,1024,61
0,-72,65,1024,62
1,1166,1025,1024,63
0,-56,87,1024,64
1,1166,1025,1024,65
0,-32,119,1024,66
0,-32,111,1024,67
0,-264,25,1024,68
0,-200,100,1024,69
0,-256,39,1024,70
0,-240,54,1024,71
0,-8,142,1024,72
0,-232,63,1024,73
0,-232,63,1024,74
0,48,163,1024,75
0,-248,40,1024,76
0,-56,87,1024,77
0,-208,98,1024,78
1,1166,1025,1024,79
0,-232,69,1024,80
0,-40,106,1024,81
0,-240,50,1024,82
0,-48,93,1024,83
0,-40,104,1024,84
0,-264,26,1024,85
0,-232,66,1024,86
0,-64,73,1024,87
0,-56,82,1024,88
0,-208,94,1024,89
0,-224,78,1024,90
0,-232,65,1024,91
1,1166,1025,1024,92
0,-200,103,1024,93
0,-264,27,1024,94
0,-32,120,1024,95
1,1166,1025,1024,96
0,-40,103,1024,97
0,56,178,1024,98
0,48,160,1024,99
0,-40,109,1024,100
1,1166,1025,1024,101
1,1166,1025,1024,102
1,1166,1025,1024,103
0,-248,40,1024,104
1,1166,1025,1024,105
0,-232,62,1024,106
0,-184,124,1024,107
0,-192,115,1024,108
0,-32,113,1024,109
1,1166,1025,1024,110
0,-40,108,1024,111
1,1166,1025,1024,112
0,-32,115,1024,113
1,1166,1025,1024,114
0,-232,66,1024,115
0,-232,65,1024,116
1,1166,1025,1024,117
0,80,203,1024,118
0,-248,49,1024,119
0,-32,113,1024,120
0,-272,19,1024,121
0,48,160,1024,122
0,-48,97,1024,123
0,48,162,1024,124
0,48,166,1024,125
0,56,178,1024,126
0,-48,97,1024,127
1,1166,1025,1024,128
1,1166,1025,1024,129
1,1166,1025,1024,130
0,48,163,1024,131
0,-168,143,1024,132
0,-240,59,1024,133
0,88,212,1024,134
0,-24,127,1024,135
1,1166,1025,1024,136
0,-40,105,1024,137
0,-32,118,1024,138
0,-200,101,1024,139
0,-256,36,1024,140
1,1166,1025,1024,141
0,-224,77,1024,142
1,1166,1025,1024,143
0,-192,117,1024,144
0,-200,106,1024,145
0,-48,92,1024,146
0,-16,137,1024,147
0,-56,87,1024,148
1,1166,1025,1024,149
1,1166,1025,1024,150
1,1166,1025,1024,151
0,-232,63,1024,152
1,1166,1025,1024,153
1,1166,1025,1024,154
1,1166,1025,1024,155
0,-224,76,1024,156
0,80,208,1024,157
1,1166,1025,1024,158
0,-224,71,1024,159
0,-264,25,1024,160
0,-56,81,1024,161
1,1166,1025,1024,162
0,-40,101,1024,163
1,1166,1025,1024,164
0,-56,82,1024,165
1,1166,1025,1024,166
0,-32,120,1024,167
0,-248,40,1024,168
0,88,214,1024,169
0,-256,35,1024,170
0,-240,57,1024,171
1,1166,1025,1024,172
0,64,184,1024,173
0,-40,106,1024,174
0,-224,78,1024,175
0,-72,65,1024,176
0,-256,37,1024,177
1,1166,1025,1024,178
0,-240,55,1024,179
0,-224,71,1024,180
1,1166,1025,1024,181
0,-176,135,1024,182
0,-168,142,1024,183
0,-216,88,1024,184
1,1166,1025,1024,185
1,1166,1025,1024,186
0,-56,85,1024,187
1,1166,1025,1024,188
0,-264,22,1024,189
1,1166,1025,1024,190
1,1166,1025,1024,191
1,1166,1025,1024,192
0,-72,70,1024,193
1,1166,1025,1024,194
1,1166,1025,1024,195
0,-264,26,1024,196
0,-224,72,1024,197
0,-232,61,1024,198
0,-256,31,1024,199
0,-192,111,1024,200
1,1166,1025,1024,201
0,-224,77,1024,202
0,-168,145,1024,203
1,1166,1025,1024,204
1,1166,1025,1024,205
0,-200,100,1024,206
0,-256,32,1024,207
1,1166,1025,1024,208
0,-248,44,1024,209
1,1166,1025,1024,210
1,1166,1025,1024,211
0,-48,100,1024,212
0,64,184,1024,213
0,-184,128,1024,214
0,-48,97,1024,215
0,-264,29,1024,216
0,-72,66,1024,217
1,1166,1025,1024,218
0,-256,31,1024,219
0,-216,88,1024,220
0,-200,104,1024,221
0,-216,88,1024,222
0,-192,118,1024,223
0,-40,108,1024,224
0,-192,115,1024,225
0,-40,106,1024,226
0,-32,114,1024,227
0,-256,39,1024,228
0,-208,92,1024,229
1,1166,1025,1024,230
0,56,176,1024,231
0,-200,102,1024,232
0,-40,105,1024,233
0,-40,108,1024,234
0,48,170,1024,235
0,-200,102,1024,236
1,1166,1025,1024,237
1,1166,1025,1024,238
0,56,173,1024,239
1,1166,1025,1024,240
0,-40,105,1024,241
1,1166,1025,1024,242
0,-256,31,1024,243
1,1166,1025,1024,244
0,-40,107,1024,245
1,1166,1025,1024,246
1,1166,1025,1024,247
1,1166,1025,1024,248
0,-56,86,1024,249
0,-232,67,1024,250
1,1166,1025,1024,251
0,-264,24,1024,252
0,-208,90,1024,253
0,-256,32,1024,254
0,-248,49,1024,255
0,-40,101,1024,256
0,88,215,1024,257
0,-32,111,1024,258
1,1166,1025,1024,259
1,1166,1025,1024,260
0,-192,115,1024,261
0,-208,92,1024,262
0,-64,77,1024,263
1,1166,1025,1024,264
0,-208,92,1024,265
0,-208,91,1024,266
0,-32,111,1024,267
1,1166,1025,1024,268
0,-256,37,1024,269
1,1166,1025,1024,270
0,-224,74,1024,271
0,48,166,1024,272
1,1166,1025,1024,273
0,-64,76,1024,274
0,-256,34,1024,275
1,1166,1025,1024,276
0,-32,120,1024,277
0,-224,79,1024,278
0,-256,35,1024,279
0,-224,79,1024,280
0,-48,97,1024,281
0,-40,106,1024,282
0,-272,19,1024,283
0,-48,99,1024,284
0,-240,55,1024,285
0,-256,31,1024,286
0,-192,113,1024,287
0,-32,119,1024,288
0,-40,108,1024,289
0,-56,89,1024,290
0,-40,110,1024,291
0,-64,77,1024,292
0,-224,79,1024,293
0,-224,77,1024,294
0,88,213,1024,295
0,-56,83,1024,296
1,1166,1025,1024,297
1,1166,1025,1024,298
0,-40,101,1024,299
0,-232,66,1024,300
1,1166,1025,1024,301
0,-264,29,1024,302
1,1166,1025,1024,303
1,1166,1025,1024,304
0,-224,71,1024,305
1,1166,1025,1024,306
0,-192,118,1024,307
1,1166,1025,1024,308
0,88,213,1024,309
0,-216,80,1024,310
0,-192,114,1024,311
1,1166,1025,1024,312
0,-192,117,1024,313
0,-200,102,1024,314
1,1166,1025,1024,315
1,1166,1025,1024,316
0,-168,146,1024,317
0,-264,26,1024,318
0,-248,47,1024,319
0,-48,95,1024,320
0,-32,112,1024,321
0,-40,104,1024,322
0,-200,108,1024,323
0,56,174,1024,324
0,-192,112,1024,325
1,1166,1025,1024,326
1,1166,1025,1024,327
0,-176,137,1024,328
1,1166,1025,1024,329
0,104,237,1024,330
0,-48,93,1024,331
0,-192,111,1024,332
1,1166,1025,1024,333
1,1166,1025,1024,334
0,-32,117,1024,335
1,1166,1025,1024,336
1,1166,1025,1024,337
0,-24,124,1024,338
0,-40,103,1024,339
1,1166,1025,1024,340
0,-168,149,1024,341
0,-248,42,1024,342
1,1166,1025,1024,343
0,-48,93,1024,344
