was succesful, reward, actual steps, target steps, runs completed
0,-264,25,1024,1
0,40,154,1024,2
0,-256,31,1024,3
1,1166,1025,1024,4
0,-64,74,1024,5
0,-104,28,1024,6
0,-256,35,1024,7
0,-264,25,1024,8
0,88,210,1024,9
1,1166,1025,1024,10
0,-264,24,1024,11
0,-256,32,1024,12
0,-256,36,1024,13
0,72,198,1024,14
0,-264,27,1024,15
0,104,239,1024,16
0,-256,33,1024,17
0,-272,15,1024,18
0,48,163,1024,19
0,-264,26,1024,20
0,-264,24,1024,21
0,72,191,1024,22
0,-256,31,1024,23
0,-72,66,1024,24
0,-264,24,1024,25
0,-264,21,1024,26
0,-272,18,1024,27
1,1166,1025,1024,28
0,-264,25,1024,29
0,-272,19,1024,30
0,-240,50,1024,31
1,1166,1025,1024,32
0,80,206,1024,33
0,-256,31,1024,34
0,-264,21,1024,35
0,-256,30,1024,36
0,-104,25,1024,37
0,-256,31,1024,38
0,-264,28,1024,39
0,-8,146,1024,40
0,-264,29,1024,41
0,72,199,1024,42
1,1166,1025,1024,43
1,1166,1025,1024,44
0,-72,61,1024,45
0,-256,38,1024,46
0,-264,28,1024,47
0,-32,119,1024,48
1,1166,1025,1024,49
0,-56,90,1024,50
0,-96,40,1024,51
0,-264,29,1024,52
0,64,186,1024,53
1,1166,1025,1024,54
0,-264,29,1024,55
0,-248,43,1024,56
1,1166,1025,1024,57
0,-64,71,1024,58
0,48,167,1024,59
0,-16,133,1024,60
0,-80,56,1024,61
0,-264,24,1024,62
0,-272,15,1024,63
0,-8,143,1024,64
1,1166,1025,1024,65
0,-248,41,1024,66
0,-256,31,1024,67
0,-256,37,1024,68
0,-256,33,1024,69
0,-256,36,1024,70
0,-264,23,1024,71
0,72,191,1024,72
0,-272,19,1024,73
0,128,263,1024,74
0,-32,117,1024,75
0,-264,28,1024,76
0,-272,18,1024,77
0,-264,25,1024,78
0,-64,74,1024,79
0,-32,119,1024,80
0,-256,35,1024,81
0,-264,29,1024,82
0,72,190,1024,83
0,-56,84,1024,84
0,40,151,1024,85
0,-264,25,1024,86
0,40,160,1024,87
1,1166,1025,1024,88
1,1166,1025,1024,89
0,-248,43,1024,90
0,96,227,1024,91
0,88,214,1024,92
1,1166,1025,1024,93
0,-256,35,1024,94
0,-264,24,1024,95
1,1166,1025,1024,96
0,-264,26,1024,97
0,136,277,1024,98
0,-264,28,1024,99
0,-256,37,1024,100
0,-264,20,1024,101
0,-264,26,1024,102
0,-80,55,1024,103
0,48,170,1024,104
0,-264,27,1024,105
0,-248,40,1024,106
0,-264,21,1024,107
1,1166,1025,1024,108
0,-264,27,1024,109
0,-264,26,1024,110
0,-272,19,1024,111
0,72,192,1024,112
0,-272,14,1024,113
1,1166,1025,1024,114
0,-256,34,1024,115
0,-256,35,1024,116
0,-264,25,1024,117
0,-272,17,1024,118
0,-88,45,1024,119
0,-248,41,1024,120
0,-272,19,1024,121
0,-256,35,1024,122
0,72,195,1024,123
0,-256,30,1024,124
0,-272,18,1024,125
0,-256,32,1024,126
0,128,261,1024,127
1,1166,1025,1024,128
0,-256,35,1024,129
0,-272,18,1024,130
0,-264,24,1024,131
0,-272,17,1024,132
0,-264,26,1024,133
0,56,173,1024,134
0,-264,27,1024,135
0,-256,35,1024,136
0,-264,27,1024,137
0,-272,15,1024,138
0,-256,33,1024,139
0,-24,126,1024,140
0,-88,41,1024,141
0,-264,25,1024,142
0,-256,35,1024,143
1,1166,1025,1024,144
0,-256,37,1024,145
0,-272,16,1024,146
0,-256,35,1024,147
0,-272,14,1024,148
0,-248,40,1024,149
0,-256,39,1024,150
0,-256,37,1024,151
0,-256,35,1024,152
0,-96,38,1024,153
0,-72,65,1024,154
0,-256,39,1024,155
0,-272,14,1024,156
0,144,287,1024,157
0,-256,36,1024,158
1,1166,1025,1024,159
0,-88,49,1024,160
0,80,202,1024,161
0,-272,17,1024,162
0,-264,28,1024,163
0,-8,148,1024,164
0,-256,37,1024,165
0,-272,19,1024,166
0,-264,23,1024,167
0,-272,18,1024,168
0,-56,87,1024,169
1,1166,1025,1024,170
0,-248,48,1024,171
0,-272,18,1024,172
0,64,182,1024,173
0,-256,30,1024,174
0,64,180,1024,175
1,1166,1025,1024,176
0,64,186,1024,177
0,-72,67,1024,178
0,-248,46,1024,179
0,-272,19,1024,180
0,-8,148,1024,181
1,1166,1025,1024,182
0,-104,27,1024,183
0,-264,29,1024,184
0,-256,31,1024,185
0,-272,19,1024,186
1,1166,1025,1024,187
0,-256,35,1024,188
0,-88,50,1024,189
0,-264,24,1024,190
0,120,250,1024,191
0,-272,18,1024,192
0,-256,31,1024,193
0,96,222,1024,194
0,-56,83,1024,195
1,1166,1025,1024,196
0,-256,34,1024,197
0,-256,30,1024,198
0,-272,14,1024,199
0,-264,29,1024,200
0,-256,32,1024,201
0,-256,32,1024,202
0,-264,24,1024,203
0,128,265,1024,204
1,1166,1025,1024,205
0,-264,29,1024,206
1,1166,1025,1024,207
1,1166,1025,1024,208
0,-264,26,1024,209
0,-256,35,1024,210
0,72,192,1024,211
0,-264,26,1024,212
0,-256,31,1024,213
0,-256,32,1024,214
0,-88,41,1024,215
0,80,205,1024,216
0,-264,28,1024,217
0,-56,89,1024,218
0,-256,36,1024,219
0,-272,14,1024,220
0,-264,26,1024,221
1,1166,1025,1024,222
0,-264,26,1024,223
0,-96,40,1024,224
0,-256,31,1024,225
0,-72,63,1024,226
0,-40,110,1024,227
0,-72,66,1024,228
0,-16,140,1024,229
0,96,222,1024,230
0,-72,62,1024,231
0,-248,40,1024,232
0,-32,117,1024,233
0,-264,27,1024,234
0,-264,23,1024,235
0,-272,17,1024,236
0,-40,108,1024,237
0,-248,43,1024,238
0,-48,97,1024,239
0,-248,42,1024,240
0,-72,68,1024,241
1,1166,1025,1024,242
1,1166,1025,1024,243
0,-264,27,1024,244
1,1166,1025,1024,245
1,1166,1025,1024,246
0,-32,113,1024,247
0,-264,24,1024,248
0,-264,29,1024,249
0,-256,32,1024,250
0,-256,38,1024,251
0,-96,33,1024,252
0,-112,18,1024,253
1,1166,1025,1024,254
0,-256,33,1024,255
1,1166,1025,1024,256
0,-256,31,1024,257
0,-256,37,1024,258
0,-272,17,1024,259
0,-272,19,1024,260
0,-264,23,1024,261
0,-272,14,1024,262
0,-104,25,1024,263
0,-248,43,1024,264
0,-256,30,1024,265
0,-264,29,1024,266
0,-256,39,1024,267
0,88,214,1024,268
1,1166,1025,1024,269
1,1166,1025,1024,270
0,-256,35,1024,271
0,64,183,1024,272
0,-264,28,1024,273
0,-264,29,1024,274
0,-248,41,1024,275
0,-264,24,1024,276
0,-272,16,1024,277
0,-248,41,1024,278
0,-272,18,1024,279
0,-264,25,1024,280
0,-264,26,1024,281
0,-272,16,1024,282
0,-256,35,1024,283
0,72,194,1024,284
0,-96,37,1024,285
0,-56,84,1024,286
0,80,204,1024,287
0,-272,15,1024,288
0,-272,15,1024,289
1,1166,1025,1024,290
1,1166,1025,1024,291
0,-256,34,1024,292
1,1166,1025,1024,293
1,1166,1025,1024,294
0,-264,25,1024,295
0,-272,16,1024,296
0,-96,33,1024,297
0,-264,24,1024,298
0,-264,27,1024,299
0,-272,19,1024,300
1,1166,1025,1024,301
0,-40,103,1024,302
0,-248,46,1024,303
0,-272,17,1024,304
0,-264,23,1024,305
0,-88,45,1024,306
0,-264,25,1024,307
0,-272,19,1024,308
1,1166,1025,1024,309
0,-88,41,1024,310
0,72,190,1024,311
0,-256,34,1024,312
0,-272,19,1024,313
0,-16,131,1024,314
0,-256,34,1024,315
0,-248,47,1024,316
1,1166,1025,1024,317
1,1166,1025,1024,318
0,-24,124,1024,319
0,-32,114,1024,320
0,-264,26,1024,321
0,-56,82,1024,322
0,-72,63,1024,323
0,-96,39,1024,324
0,-264,23,1024,325
0,-272,14,1024,326
0,-264,29,1024,327
0,-72,69,1024,328
0,-264,29,1024,329
0,-256,31,1024,330
0,-272,17,1024,331
0,40,159,1024,332
1,1166,1025,1024,333
1,1166,1025,1024,334
0,-256,30,1024,335
0,-264,24,1024,336
0,-272,14,1024,337
0,-256,30,1024,338
0,88,213,1024,339
0,152,299,1024,340
0,-104,21,1024,341
0,-256,32,1024,342
0,-264,20,1024,343
0,-272,17,1024,344
0,-272,14,1024,345
0,120,251,1024,346
0,112,245,1024,347
0,-264,28,1024,348
0,-264,28,1024,349
0,-248,40,1024,350
0,-264,26,1024,351
0,-256,32,1024,352
0,-40,109,1024,353
0,-256,36,1024,354
0,-272,19,1024,355
1,1166,1025,1024,356
0,-48,100,1024,357
0,-256,32,1024,358
0,-88,45,1024,359
0,-96,36,1024,360
0,120,256,1024,361
0,-256,33,1024,362
0,-256,35,1024,363
0,-272,16,1024,364
0,-16,136,1024,365
0,-264,27,1024,366
0,-272,15,1024,367
0,-256,34,1024,368
0,-272,17,1024,369
0,72,192,1024,370
0,-272,15,1024,371
0,-248,42,1024,372
0,-264,26,1024,373
0,-272,18,1024,374
0,-264,22,1024,375
0,-256,33,1024,376
0,-256,31,1024,377
0,-264,29,1024,378
0,-256,33,1024,379
0,-96,33,1024,380
0,-240,53,1024,381
0,-264,26,1024,382
0,-264,20,1024,383
0,-264,29,1024,384
0,-248,40,1024,385
1,1166,1025,1024,386
0,-80,57,1024,387
0,-256,33,1024,388
0,152,299,1024,389
0,-272,15,1024,390
0,-256,30,1024,391
0,-264,21,1024,392
0,-272,15,1024,393
1,1166,1025,1024,394
1,1166,1025,1024,395
0,-264,26,1024,396
0,-88,44,1024,397
0,-264,26,1024,398
1,1166,1025,1024,399
0,-248,45,1024,400
0,-256,35,1024,401
0,-272,15,1024,402
0,-32,116,1024,403
0,-88,45,1024,404
0,-264,24,1024,405
0,-264,26,1024,406
0,-264,20,1024,407
1,1166,1025,1024,408
0,-264,27,1024,409
0,-264,24,1024,410
0,-264,28,1024,411
0,-16,132,1024,412
0,-264,29,1024,413
1,1166,1025,1024,414
0,-256,38,1024,415
1,1166,1025,1024,416
0,-256,38,1024,417
0,-264,28,1024,418
0,-88,44,1024,419
1,1166,1025,1024,420
0,-256,38,1024,421
0,104,230,1024,422
0,-264,21,1024,423
0,-264,26,1024,424
0,-264,28,1024,425
0,104,232,1024,426
0,-256,30,1024,427
0,-256,39,1024,428
1,1166,1025,1024,429
0,-264,29,1024,430
0,-272,15,1024,431
0,-264,23,1024,432
0,-264,29,1024,433
0,-272,15,1024,434
0,-256,33,1024,435
0,-264,28,1024,436
0,-256,39,1024,437
0,-264,28,1024,438
0,-264,23,1024,439
1,1166,1025,1024,440
0,-248,42,1024,441
0,-264,20,1024,442
