star_1_x_pos,star_1_y_pos,star_1_m,planet_1_m,length,height
1663,679,142,14,2000,1142.857142857143
610,640,147,14,2000,1142.857142857143
306,615,126,16,2000,1142.857142857143
1457,746,145,17,2000,1142.857142857143
657,670,146,18,2000,1142.857142857143
996,764,136,17,2000,1142.857142857143
1163,540,137,13,2000,1142.857142857143
1412,728,126,13,2000,1142.857142857143
1210,463,134,17,2000,1142.857142857143
948,400,141,17,2000,1142.857142857143
381,510,126,13,2000,1142.857142857143
366,713,127,16,2000,1142.857142857143
494,388,127,17,2000,1142.857142857143
1279,436,137,19,2000,1142.857142857143
1488,589,133,19,2000,1142.857142857143
1040,445,144,15,2000,1142.857142857143
1170,395,130,15,2000,1142.857142857143
373,648,138,14,2000,1142.857142857143
799,458,132,19,2000,1142.857142857143
1717,676,135,15,2000,1142.857142857143
360,498,129,13,2000,1142.857142857143
1384,590,129,17,2000,1142.857142857143
522,400,141,15,2000,1142.857142857143
907,687,127,15,2000,1142.857142857143
1729,519,144,14,2000,1142.857142857143
1378,450,137,17,2000,1142.857142857143
1017,700,135,16,2000,1142.857142857143
1143,649,147,13,2000,1142.857142857143
1647,461,134,14,2000,1142.857142857143
408,369,129,18,2000,1142.857142857143
521,671,140,15,2000,1142.857142857143
984,537,142,18,2000,1142.857142857143
714,498,136,16,2000,1142.857142857143
1660,542,143,17,2000,1142.857142857143
865,700,133,19,2000,1142.857142857143
1738,690,130,17,2000,1142.857142857143
937,769,141,16,2000,1142.857142857143
481,680,135,14,2000,1142.857142857143
258,644,144,15,2000,1142.857142857143
567,603,133,18,2000,1142.857142857143
733,447,136,13,2000,1142.857142857143
1185,501,141,16,2000,1142.857142857143
957,356,130,18,2000,1142.857142857143
1351,722,126,18,2000,1142.857142857143
892,664,147,15,2000,1142.857142857143
1584,604,130,19,2000,1142.857142857143
796,418,128,13,2000,1142.857142857143
637,714,126,14,2000,1142.857142857143
1038,692,134,14,2000,1142.857142857143
804,578,134,19,2000,1142.857142857143
