star_1_x_pos,star_1_y_pos,star_1_m,planet_1_m,length,height
1569,749,143,14,2000,1142.857142857143
336,748,144,18,2000,1142.857142857143
1442,681,144,17,2000,1142.857142857143
1338,400,129,13,2000,1142.857142857143
1584,410,134,18,2000,1142.857142857143
1273,492,139,15,2000,1142.857142857143
1266,769,132,18,2000,1142.857142857143
1574,401,148,19,2000,1142.857142857143
584,717,130,19,2000,1142.857142857143
695,597,145,14,2000,1142.857142857143
701,571,135,16,2000,1142.857142857143
435,715,143,14,2000,1142.857142857143
1376,792,136,15,2000,1142.857142857143
1474,508,133,19,2000,1142.857142857143
267,364,142,13,2000,1142.857142857143
1341,363,138,17,2000,1142.857142857143
830,478,141,16,2000,1142.857142857143
1492,589,143,17,2000,1142.857142857143
1420,661,136,15,2000,1142.857142857143
1021,501,130,16,2000,1142.857142857143
1705,472,143,15,2000,1142.857142857143
520,475,126,19,2000,1142.857142857143
1197,723,143,14,2000,1142.857142857143
910,481,132,15,2000,1142.857142857143
1695,598,146,19,2000,1142.857142857143
888,561,137,16,2000,1142.857142857143
1501,398,147,18,2000,1142.857142857143
1652,611,148,14,2000,1142.857142857143
828,486,143,13,2000,1142.857142857143
691,382,131,13,2000,1142.857142857143
1283,479,144,15,2000,1142.857142857143
529,786,133,19,2000,1142.857142857143
1434,398,147,13,2000,1142.857142857143
1249,702,137,16,2000,1142.857142857143
1665,753,126,18,2000,1142.857142857143
1323,378,136,16,2000,1142.857142857143
975,788,129,16,2000,1142.857142857143
299,735,140,18,2000,1142.857142857143
848,608,136,17,2000,1142.857142857143
1247,741,132,17,2000,1142.857142857143
1728,411,135,13,2000,1142.857142857143
285,673,147,18,2000,1142.857142857143
1028,581,135,19,2000,1142.857142857143
983,662,137,19,2000,1142.857142857143
1691,500,135,13,2000,1142.857142857143
1506,418,149,18,2000,1142.857142857143
418,426,146,19,2000,1142.857142857143
526,510,135,16,2000,1142.857142857143
1348,415,137,18,2000,1142.857142857143
753,366,127,16,2000,1142.857142857143
706,601,141,15,2000,1142.857142857143
1069,491,149,13,2000,1142.857142857143
1495,671,130,16,2000,1142.857142857143
1159,561,149,19,2000,1142.857142857143
432,431,141,18,2000,1142.857142857143
1049,352,149,17,2000,1142.857142857143
1690,538,126,17,2000,1142.857142857143
1517,376,138,15,2000,1142.857142857143
1293,767,134,13,2000,1142.857142857143
457,758,135,16,2000,1142.857142857143
1628,377,144,15,2000,1142.857142857143
405,482,149,15,2000,1142.857142857143
739,521,137,19,2000,1142.857142857143
1175,522,146,17,2000,1142.857142857143
1115,684,127,17,2000,1142.857142857143
1343,364,143,14,2000,1142.857142857143
805,635,145,19,2000,1142.857142857143
440,722,127,19,2000,1142.857142857143
1631,417,131,14,2000,1142.857142857143
663,572,135,17,2000,1142.857142857143
427,709,134,13,2000,1142.857142857143
265,453,138,17,2000,1142.857142857143
1129,567,138,13,2000,1142.857142857143
1594,577,141,14,2000,1142.857142857143
395,760,144,19,2000,1142.857142857143
594,354,145,15,2000,1142.857142857143
368,707,133,14,2000,1142.857142857143
950,585,139,15,2000,1142.857142857143
1259,588,126,15,2000,1142.857142857143
1284,718,129,16,2000,1142.857142857143
549,600,126,15,2000,1142.857142857143
1274,464,133,16,2000,1142.857142857143
1542,704,148,14,2000,1142.857142857143
1564,379,134,14,2000,1142.857142857143
1626,619,147,15,2000,1142.857142857143
1407,473,147,18,2000,1142.857142857143
1285,729,142,16,2000,1142.857142857143
1249,767,139,19,2000,1142.857142857143
838,578,138,16,2000,1142.857142857143
853,790,139,17,2000,1142.857142857143
284,603,132,13,2000,1142.857142857143
453,729,126,14,2000,1142.857142857143
387,513,127,16,2000,1142.857142857143
1067,732,145,15,2000,1142.857142857143
1566,537,148,17,2000,1142.857142857143
467,788,133,14,2000,1142.857142857143
1500,578,140,16,2000,1142.857142857143
584,574,127,13,2000,1142.857142857143
1076,615,128,15,2000,1142.857142857143
1454,486,142,15,2000,1142.857142857143
1391,649,131,14,2000,1142.857142857143
297,436,142,19,2000,1142.857142857143
675,356,148,13,2000,1142.857142857143
1296,783,146,14,2000,1142.857142857143
572,710,142,15,2000,1142.857142857143
395,775,131,18,2000,1142.857142857143
1218,779,134,19,2000,1142.857142857143
1593,484,145,19,2000,1142.857142857143
